Year,Month,Day,NO2_trop_mean,NO2_trop_std,Fecha_datetime,SEM
2018,7,8,4.640286023679514e-05,2.628320963098633e-05,2018-07-08,1.6331591818166462e-06
2018,7,11,9.589561124831676e-05,4.790958505576134e-06,2018-07-11,2.9769567655313015e-07
2018,7,12,0.000158539827798,6.3237142342847656e-06,2018-07-12,3.9293648340159825e-07
2018,7,14,0.0001295957657099,5.636244663764516e-05,2018-07-14,3.50219202784887e-06
2018,7,15,7.233452456741144e-05,1.6465113872054848e-05,2018-07-15,1.0230923953861833e-06
2018,7,21,0.0001071920708262,2.94950227604921e-05,2018-07-21,1.8327315390887047e-06
2018,7,23,0.000120270184074,4.308378205091914e-05,2018-07-23,2.677095957142633e-06
2018,7,24,0.0001771041229573,7.993772195782194e-05,2018-07-24,4.9670883587600805e-06
2018,7,30,0.0001295305355454,4.2368739879975725e-05,2018-07-30,2.6326653984986227e-06
2018,7,31,0.000208772247512,6.792578192953373e-05,2018-07-31,4.220702722300292e-06
2018,8,1,0.00012414758899225,3.655317772024312e-05,2018-08-01,2.2713039486627746e-06
2018,8,2,0.0001374500656621,7.260981503541327e-05,2018-08-02,4.511754377794517e-06
2018,8,6,0.0001269616936557,3.413580908013376e-05,2018-08-06,2.1210959700384353e-06
2018,8,9,9.669355574098634e-05,2.0992507859132025e-05,2018-08-09,1.3044109696207219e-06
2018,8,10,0.0002265011426061,0.0,2018-08-10,0.0
2018,8,12,5.7043837669409805e-05,1.9709361690867612e-05,2018-08-12,1.2246801461887425e-06
2018,8,14,7.135850282960005e-05,2.420083174273401e-05,2018-08-14,1.5037665157017046e-06
2018,8,15,0.0003916679200403,0.0001060880702367,2018-08-15,6.591991937849716e-06
2018,8,16,0.0001080305216788,3.761181168519138e-05,2018-08-16,2.337084262570857e-06
2018,8,17,0.0001216698736152,5.574118104164306e-05,2018-08-17,3.463588462047628e-06
2018,8,19,1.7885652889822747e-05,1.2131861285962892e-05,2018-08-19,7.53837180841778e-07
2018,8,20,3.258698635108971e-05,1.1917499118672953e-05,2018-08-20,7.405173638689321e-07
2018,8,21,0.0005398378173848,0.0001197897134515,2018-08-21,7.443370621670936e-06
2018,8,22,6.199998706443748e-05,1.9080004943124737e-05,2018-08-22,1.1855738206811157e-06
2018,8,25,5.9961792201281405e-05,1.6441016371938287e-05,2018-08-25,1.0215950495853193e-06
2018,8,26,8.324457001457316e-05,2.0952139567388444e-05,2018-08-26,1.3019026060212642e-06
2018,8,27,0.0001469445235044,5.237834875949173e-05,2018-08-27,3.254632231221462e-06
2018,8,28,0.0001891866927642,6.013144458410738e-05,2018-08-28,3.736386165054093e-06
2018,8,29,0.0001162845410474,3.4210017034294385e-05,2018-08-29,2.125707027949657e-06
2018,8,31,7.930784308951578e-05,2.759524425115292e-05,2018-08-31,1.714685046308485e-06
2018,9,1,0.0001342388968864,1.971259654168833e-05,2018-09-01,1.2248811500384944e-06
2018,9,2,6.406025259381242e-05,2.1717780023710474e-05,2018-09-02,1.3494771891398514e-06
2018,9,3,0.0001664695337232,5.963716134894312e-05,2018-09-03,3.70567289923686e-06
2018,9,4,0.0001278370726654,3.926134379896227e-05,2018-09-04,2.439581200925385e-06
2018,9,5,8.739832555089655e-05,2.479118065694539e-05,2018-09-05,1.5404490123699635e-06
2018,9,6,0.0002235429850811,6.661711827325802e-05,2018-09-06,4.139386319312861e-06
2018,9,7,0.0001218932660247,4.574264952332607e-05,2018-09-07,2.8423099430584025e-06
2018,9,8,4.073883990203366e-05,8.168645501674687e-06,2018-09-08,5.075749343922356e-07
2018,9,9,4.851550070582263e-05,4.054541949250281e-06,2018-09-09,2.5193697822476963e-07
2018,9,10,4.536658866716877e-05,1.4671904123979848e-05,2018-09-10,9.1166776323094e-07
2018,9,11,8.93167762699038e-05,4.381369546287548e-05,2018-09-11,2.7224505697414777e-06
2018,9,13,0.00015654609541640002,6.298094610552e-05,2018-09-13,3.9134455744121154e-06
2018,9,14,9.35472659247968e-05,2.1789003023645347e-05,2018-09-14,1.353902771020195e-06
2018,9,16,4.17019437009003e-05,0.0,2018-09-16,0.0
2018,9,18,5.368882284114437e-05,8.987899552666421e-06,2018-09-18,5.584809041882625e-07
2018,9,19,4.876335029876692e-05,9.883619917430352e-06,2018-09-19,6.141382595338498e-07
2018,9,20,4.919598376876406e-05,7.969380029646376e-06,2018-09-20,4.951931804196005e-07
2018,9,21,0.0001476373514748,5.979832301093439e-05,2018-09-21,3.715686997656848e-06
2018,9,22,7.874325204403561e-05,2.4376224897111128e-08,2018-09-22,1.5146649160310567e-09
2018,9,24,4.8885187440700965e-05,3.962878742078384e-06,2018-09-24,2.462413036656376e-07
2018,9,25,4.432308133505534e-05,1.6064934155116465e-05,2018-09-25,9.982264376789404e-07
2018,9,26,9.073217291783082e-05,0.0,2018-09-26,0.0
2018,9,29,8.41186542760342e-05,2.887329372143631e-05,2018-09-29,1.7940991763372797e-06
2018,10,1,6.404529472649652e-05,2.090541029085105e-05,2018-10-01,1.2989989900585195e-06
2018,10,2,0.0003497287882029,9.7152927647476e-05,2018-10-02,6.036789191864368e-06
2018,10,3,0.0001083337283351,3.606644648500948e-05,2018-10-03,2.2410599412885145e-06
2018,10,4,0.00019520262630970002,6.359980853060438e-05,2018-10-04,3.951899814438277e-06
2018,10,5,0.0002955145815208,9.8537107739401e-05,2018-10-05,6.122797957846664e-06
2018,10,6,7.163218909520474e-05,1.820451029529701e-05,2018-10-06,1.131173230235514e-06
