Weekofyear,NO2_trop_mean,SEM,Fecha_datetime,N_days
2018W27,4.640286023679514e-05,1.6331591818166462e-06,2018-07-02,1
2018W28,0.00011409143233090705,1.3039791457974453e-06,2018-07-09,4
2018W29,0.0001071920708262,1.8327315390887047e-06,2018-07-16,1
2018W30,0.00014868715351565,3.8220921579513565e-06,2018-07-23,2
2018W31,0.0001499751094279375,3.4091066118140517e-06,2018-07-30,4
2018W32,0.00012680005741804904,1.162546771461975e-06,2018-08-06,4
2018W33,0.00014212249421074457,2.9300536718023366e-06,2018-08-13,5
2018W34,0.00015552623060323634,2.3385918923655135e-06,2018-08-20,5
2018W35,0.00012167045831428804,2.2342948016186737e-06,2018-08-27,6
2018W36,0.00011662793195045041,2.203844469645783e-06,2018-09-03,7
2018W37,8.529573399583394e-05,1.7802933356809457e-06,2018-09-10,5
2018W38,7.56057520855022e-05,1.0770028013429182e-06,2018-09-17,5
2018W39,6.701477399240533e-05,7.596417294204644e-07,2018-09-24,4
2018W40,0.00016734669269144331,3.184721878000584e-06,2018-10-01,7
2018W41,7.534355040049385e-05,1.1422464664650076e-06,2018-10-08,5
2018W42,0.00011042531389243888,2.1728371718000646e-06,2018-10-15,3
2018W43,8.49035430758099e-05,2.1760844937448983e-06,2018-10-22,4
2018W44,0.00011749227455752269,2.5864222900310167e-06,2018-10-29,3
2018W45,9.878830726518049e-05,1.7221333717065822e-06,2018-11-05,5
2018W46,4.434576520350517e-05,1.4240305133497406e-06,2018-11-12,5
2018W47,8.334778656621173e-05,1.8077533728044616e-06,2018-11-19,5
2018W48,0.00010940030728924267,1.388542781309932e-06,2018-11-26,3
2018W49,0.00011485262044636581,2.331121856612454e-06,2018-12-03,6
2018W50,7.686350470307133e-05,2.0609629870570654e-06,2018-12-10,4
2018W51,7.363317336113165e-05,1.328859870164111e-06,2018-12-17,5
2018W52,5.8446193849658015e-05,1.1913957846965185e-06,2018-12-24,6
2019W01,7.572987778009312e-05,1.7854028947694011e-06,2018-12-31,4
2019W02,7.435383676495874e-05,1.5465697100613465e-06,2019-01-07,3
2019W03,6.64401909478194e-05,1.8001400802113591e-06,2019-01-14,5
2019W04,7.492587062581999e-05,1.5245624984029146e-06,2019-01-21,5
2019W05,7.758884822934003e-05,1.0572192548289081e-06,2019-01-28,4
2019W06,0.00010566594552425687,2.195900354657607e-06,2019-02-04,7
2019W07,8.933640602207878e-05,1.5971345600222256e-06,2019-02-11,6
2019W08,0.0001337606966350751,2.371530032730845e-06,2019-02-18,6
2019W09,0.0001044021285955219,2.2258673764655e-06,2019-02-25,6
2019W10,8.83978716190221e-05,1.8024301621198643e-06,2019-03-04,6
2019W11,5.42920696785021e-05,9.710630087611637e-07,2019-03-11,4
2019W12,0.00014680797028911356,1.928715941051093e-06,2019-03-18,6
2019W13,7.10669222784624e-05,1.4294530170610384e-06,2019-03-25,7
2019W14,0.00012674362269505005,2.4738588906699555e-06,2019-04-01,4
2019W15,0.000170386849445719,3.6812654043131897e-06,2019-04-08,7
2019W16,0.00011310681316344005,1.7246411191629983e-06,2019-04-15,6
2019W17,0.0001293597121554596,1.9589110806097853e-06,2019-04-22,4
2019W18,6.061913997418071e-05,9.061131341068488e-07,2019-04-29,5
2019W19,9.671515660830496e-05,1.944106362584609e-06,2019-05-06,6
2019W20,9.688016139740782e-05,1.8731479345003315e-06,2019-05-13,7
2019W21,0.0001697425050858206,2.7095864718771725e-06,2019-05-20,3
2019W22,0.00014123138294620363,2.6861925897596085e-06,2019-05-27,4
2019W23,0.00011666077455160192,2.0599174417632813e-06,2019-06-03,5
2019W24,,,2019-06-10,0
2019W25,0.00018350153009957164,4.709916663427877e-06,2019-06-17,3
2019W26,9.050470494535319e-05,1.4828862519187839e-06,2019-06-24,2
