Weekofyear,NO2_trop_mean,SEM,Fecha_datetime,N_days
2019W27,0.00012669890593839506,2.4106440235307656e-06,2019-07-01,6
2019W28,0.0001772507894686364,3.1927802479348925e-06,2019-07-08,5
2019W29,0.00015353286753995,2.7525965724552637e-06,2019-07-15,4
2019W30,0.00021794987124383817,2.9327410524929666e-06,2019-07-22,3
2019W31,0.00012130296466354994,1.6063288619849508e-06,2019-07-29,6
2019W32,0.00011147581429548441,1.7645741404926617e-06,2019-08-05,4
2019W33,0.0001738329961699159,2.7075360173367147e-06,2019-08-12,5
2019W34,0.0002356193582052564,4.556071251062744e-06,2019-08-19,6
2019W35,0.00010210218028102442,1.3116125920487393e-06,2019-08-26,4
2019W36,8.350382647744653e-05,1.6125687958144582e-06,2019-09-02,5
2019W37,0.00019594466961901522,4.941585816076773e-06,2019-09-09,4
2019W38,0.00011959295171411666,1.601560350752752e-06,2019-09-16,7
2019W39,0.00016072301265939476,2.5387049636012336e-06,2019-09-23,7
2019W40,6.151902728204525e-05,1.004488350117778e-06,2019-09-30,2
2019W41,9.423356442875627e-05,1.5870898727379899e-06,2019-10-07,4
2019W42,0.0001348465085972508,2.675674274899991e-06,2019-10-14,2
2019W43,9.066145296161778e-05,1.5726370810443362e-06,2019-10-21,6
2019W44,6.555699795386801e-05,1.1638880053448601e-06,2019-10-28,4
2019W45,8.56939047100819e-05,1.923570517520772e-06,2019-11-04,6
2019W46,0.00010507777023367789,1.9490698011527104e-06,2019-11-11,5
2019W47,8.799894612563902e-05,1.5006224710766846e-06,2019-11-18,7
2019W48,6.924689152740958e-05,1.1734234091492423e-06,2019-11-25,5
2019W49,8.436590291047682e-05,1.6363765516993537e-06,2019-12-02,5
2019W50,0.00010678401799888802,2.110601447899115e-06,2019-12-09,6
2019W51,0.0001088518905380902,2.7857494729840454e-06,2019-12-16,6
2019W52,0.00010609299048393021,1.9478823851815903e-06,2019-12-23,5
2020W01,6.420075704611663e-05,1.298124216463239e-06,2019-12-30,3
2020W02,8.275024320170956e-05,1.5859753837314878e-06,2020-01-06,7
2020W03,7.662669225239975e-05,1.4504492042349615e-06,2020-01-13,6
2020W04,7.432893200926741e-05,1.480913642550679e-06,2020-01-20,6
2020W05,9.270845144020773e-05,2.002292644310269e-06,2020-01-27,6
2020W06,6.178004025420806e-05,1.3318525836165154e-06,2020-02-03,4
2020W07,8.237206421854002e-05,1.4417804711284025e-06,2020-02-10,7
2020W08,5.986804008158316e-05,1.1063331891471297e-06,2020-02-17,6
2020W09,0.00012963173621775617,3.0870498182034606e-06,2020-02-24,7
2020W10,0.00012357878975474646,3.1425992048811886e-06,2020-03-02,6
2020W11,0.00015340205332980188,2.1361699434702993e-06,2020-03-09,4
2020W12,4.494647060129534e-05,9.795623662276293e-07,2020-03-16,6
2020W13,5.353812588167758e-05,1.2332355292761314e-06,2020-03-23,6
2020W14,5.9290733867024085e-05,9.488656572428215e-07,2020-03-30,5
2020W15,4.08837949647597e-05,7.043089827214096e-07,2020-04-06,7
2020W16,6.330949072765484e-05,1.1691595322036717e-06,2020-04-13,6
2020W17,6.833033729983889e-05,9.50434763950194e-07,2020-04-20,5
2020W18,4.9936513625286865e-05,9.713014244948021e-07,2020-04-27,5
2020W19,6.297378602315704e-05,1.0928584454173485e-06,2020-05-04,5
2020W20,0.00012260882244224377,2.1830761556888804e-06,2020-05-11,7
2020W21,7.067069202976937e-05,1.1698463067753886e-06,2020-05-18,4
2020W22,0.00010636291323190546,2.205263649996064e-06,2020-05-25,6
2020W23,0.00021859766112191793,2.3422109629015445e-06,2020-06-01,4
2020W24,0.00015813816450103402,2.354687344053409e-06,2020-06-08,6
2020W25,6.455359917337115e-05,1.0293549098369628e-06,2020-06-15,6
2020W26,0.00015014810141476825,3.153371510061098e-06,2020-06-22,5
2020W27,0.00010701794443893306,1.6929855045562705e-06,2020-06-29,4
2020W28,0.00016786865567291096,2.142524103745263e-06,2020-07-06,6
2020W29,0.00010944441304628013,2.468367258647775e-06,2020-07-13,6
2020W30,8.642084797032714e-05,4.189648658269106e-07,2020-07-20,4
2020W31,0.000136627543743917,1.7922181798013336e-06,2020-07-27,6
2020W32,7.6506321428254e-05,1.5843390391038675e-06,2020-08-03,3
2020W33,0.0001041266798780344,1.8994121181330798e-06,2020-08-10,7
2020W34,6.970891053567654e-05,1.1711601536357722e-06,2020-08-17,7
2020W35,8.40887926866273e-05,1.6150447527283589e-06,2020-08-24,3
2020W36,0.0001293385018666968,2.2408829171575572e-06,2020-08-31,3
2020W37,8.852803513675047e-05,1.7417607346680929e-06,2020-09-07,6
2020W38,0.00016328999892425964,3.913409096837756e-06,2020-09-14,6
2020W39,0.00012448584685501021,3.4170262000304663e-06,2020-09-21,5
2020W40,6.058082570115836e-05,1.0630300167149984e-06,2020-09-28,5
2020W41,0.00010271733486980632,1.4424006012901904e-06,2020-10-05,7
2020W42,0.00011728049511348831,1.9768834983266343e-06,2020-10-12,7
2020W43,6.883732866709574e-05,1.2221405269500785e-06,2020-10-19,3
2020W44,0.0001220579018594782,2.9441048151311276e-06,2020-10-26,5
2020W45,7.064199615104475e-05,1.34050546339817e-06,2020-11-02,7
2020W46,0.00010307640745648656,2.5228579286097755e-06,2020-11-09,5
2020W47,9.62345689447347e-05,1.994203315878839e-06,2020-11-16,7
2020W48,8.243884286505148e-05,1.1807479355911175e-06,2020-11-23,4
